제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크,페이지수,카테고리,책 설명
해커스 아이엘츠 리딩 베이직 (Hackers IELTS Reading Basic),해커스 어학연구소,,,,,,,해커스어학연구소,2024년 01월,18810,9.7,19,https://www.yes24.com/product/goods/57629345,362,국내도서 국어 외국어 사전 영어 IELTS,IELTS 입문자를 위한 맞춤 기본서최신 경향을 반영한 2018 최신판 『Hackers IELTS Reading Basic』과 함께 하면 아이엘츠 기본기부터 탄탄히 하고 최신 경향에 완벽 대비해 목표 점수를 달성할 수 있다.  1. IELTS 리딩 베이직 4주 완성2. 입문/초보 학습자에게 꼭 맞춘 체계적인 학습시스템3. 실제 시험과 동일한 구성의 실전모의고사 수록 [추가 자료]해커스인강 (HackersIngang.com) 1) 리딩 필수 단어암기장 2) 단어암기 MP3  고우해커스 (goHackers.com) 1) IELTS 리딩/리스닝 실전문제  2) IELTS 라이팅/스피킹 첨삭 게시판
바깥은 여름,김애란,,,,,,,문학동네,2017년 06월,13050,9.2,903,https://www.yes24.com/product/goods/42798224,272,국내도서 소설 시 희곡 테마소설 영화와 드라마 원작,"2017 소설가들이 뽑은 올해의 소설제37회 이상문학상 수상작 「침묵의 미래」제8회 젊은작가상 수상작 「어디로 가고 싶으신가요」 수록『비행운』 이후 5년 만에 펴내는 김애란의 신작 소설집. 대 최연소 수상으로 화제를 모은 이상문학상 수상작 「침묵의 미래」와 젊은작가상 수상작 「어디로 가고 싶으신가요」를 포함해 일곱 편의 단편이 실렸다. 가까이 있던 누군가를 잃거나 어떤 시간을 영영 빼앗기는 등 상실을 맞닥뜨린 인물의 이야기, 친숙한 상대에게서 뜻밖의 표정을 읽게 되었을 때 느끼는 당혹스러움, 언어의 영(靈)이 들려주는 생경한 이야기 등이 김애란 특유의 간결하고 담백한 문체로 펼쳐진다. 작가생활 15년, 끊임없이 자신을 경신하며 단 한 번도 우리를 실망시킨 적 없는 김애란이 선보이는 일곱 편의 마스터피스."
"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","현병욱(오땡큐), 신수진",,,,,,,시프트,2025년 09월,18000,9.7,26,https://www.yes24.com/product/goods/152644865,216,국내도서 IT 모바일 컴퓨터 입문 활용 어른을 위한 컴퓨터,"AI로 시작하는 음악, 쉽고 재미있게 나만의 음악을 만들며, 음악의 매력에 빠져 보자!'AI에서 클릭 몇 번이면 음악이 뚝딱 완성되는데, 과연 책을 볼 필요가 있을까?' 직접 AI를 사용하여 음악을 만들어 보면 가졌던 의문이 싹 사라질 것이다. 물론 클릭 몇 번으로 음악을 만들 수는 있다. 하지만 완성된 음악을 들어보면 뭔가 엉성하거나 엉망진창일 때가 많다. 그럴 때 이 책을 펼쳐보자. 뻔한 프롬프트 작성 방법만 가득 담겨 있는 그런 책이 아니다. AI를 이용하되 좀 더 제대로 된 음악을 만들 수 있도록 최소한의 음악 이론, 실습 기반의 튜토리얼, 그리고 수십 번의 테스트를 거쳐 검증한 프롬프트 조합까지 친절하게 설명해 준다. 20만 구독자를 보유한 음악 전문 크리에이터이자, 프로 작곡가인 오땡큐 자의 노하우를 참고하여 원하는 장르, 보컬 스타일, 분위기, 악기 등을 담아 완성도 높은 나만의 음악을 만들어 보자."
과학을 보다 3,"김범준, 지웅배, 이대한, 정영진",,,,,,,알파미디어,2025년 02월,17820,9.9,73,https://www.yes24.com/product/goods/141892445,312,국내도서 자연과학 과학 재미있는 과학이야기,"진화, 우주, 만물의 비밀을 푸는 경이로운 과학 여행요즘 어른에게 필요한 최소한의 과학 교양훨씬 깊고 넓어진 과학 이야기, 이제는 ‘생명의 진화’까지!진화생물학자 이대한이 펼쳐 보이는 생명 진화의 비밀과 아름다움천문학자 지웅배가 명쾌하게 설명하는 우주의 신비와 낭만물리학자 김범준이 세상만사를 풀어내는 과학적 방법론+ 정영진의 재치와 현실감각!230만 구독자를 보유한 유튜브 채널 〈보다BODA〉의 인기 시리즈 〈과학을 보다〉가 세 번째 책으로 돌아왔다. 유튜브 영상으로 과학의 매력을 전하던 이들이 첫 번째 책을 통해 일반 독자들에게 과학의 문턱을 낮추고, 두 번째 책으로 깊이 있는 생물학적 통찰을 선보였다면, 이번 『과학을 보다 3』에서는 한층 더 폭넓은 주제와 다채로운 이야기를 담아냈다. 이번 책은 생명과 진화, 우주의 비밀, 그리고 일상에서 무심코 지나쳤던 과학적 호기심까지 포괄한다. 예를 들어 “원숭이가 이제 구석기시대에 접어들었다는 이야기가 사실일까?”, “공룡은 왜 우리처럼 문명을 이루지 못했을까?”, “빙하 속 고대 생물을 복원할 수 있을까?” 같은 틀을 깨는 질문으로 우리에게 과학적 상상의 나래를 마음껏 펼치게 한다. 때로는 엉뚱하고, 때로는 진지한 질문에서 출발한 이야기는 과학적 근거와 재치 있는 설명으로 이어지며 자연스럽게 고개를 끄덕이게 만든다.『과학을 보다 3』의 가장 큰 매력은 무작정 어렵게 느껴지던 주제를 독자의 눈높이에 맞춰 풀어냈다는 점이다. “유리는 고체일까, 액체일까?”와 같은 고전적 질문부터 “빛과 빛이 충돌하면 어떤 일이 생길까?”, “우리 몸의 원소들이 별에서 왔다고?” 같은 흥미로운 이야기를 통해 과학을 외면했던 이들조차 빠져들지 않을 수 없게 만든다. 특히 유튜브 영상에서는 시간의 제약으로 담기 힘들었던 상세한 설명과 흥미로운 뒷이야기까지 만날 수 있어 과학에 관심 있는 독자들에게 더없이 반가운 선물이 될 것이다.유쾌한 질문과 진지한 답변 사이를 오가다 보면, 과학은 더 이상 어려운 학문이 아닌 세상을 새롭게 바라보게 하는 즐거운 도구임을 깨닫게 된다. 첫 페이지를 펼치는 순간 과학자들의 이야기에 빠져들고, 마지막 페이지를 덮을 때쯤이면 세상에 대한 새로운 시각과 깊이 있는 지식을 얻은 자신을 발견하게 될 것이다. 『과학을 보다 3』은 이번에도 우리의 호기심을 충족시키며 과학적 소양을 쌓는 즐거움을 선사한다. 책을 펼치고 과학의 세계로 떠나보자."
태어난 김에 수학 공부 : 기하,샘 하트번,,,,,,,윌북(willbook),2025년 10월,17820,10.0,56,https://www.yes24.com/product/goods/154079518,192,국내도서 자연과학 수학 재미있는 수학이야기,"수학은 그림으로 공부해야 빠르고, 쉽고, 오래 간다! 시원시원하게 한눈에 들어와 박히는, 혁신적인 그림 수학책“이제야 수학이 제대로 이해된다.” AI 시대, 어떻게 변할지 모르는 미래를 대비할 기초 중의 기초, 평생 가는 수학 체력“어린 시절 나에게 주고 싶은 책”_남궁인 응급의학과 교수 강력 추천! 곽재식 교수 추천 ‘그림으로 과학하기’ 시리즈의 수학편 중학생부터 과학 교양을 쌓고자 하는 성인까지 모두를 한눈에 사로잡은 ‘그림으로 과학하기’ 시리즈의 신간, 『태어난 김에 수학 공부: 대수』와 『태어난 김에 수학 공부: 기하』가 드디어 출간됐다. 『태어난 김에 수학 공부: 기하』는 수학에서도 가장 먼 생겨난 분야이자, 공간과 도형을 이해하는 기하학(geometry)의 핵심 개념을 그림으로 설명한 책이다. 수많은 텍스트를 한 장의 이미지로 압축하고 꼭 필요한 설명을 쉽고 간결하게 곁들였기 때문에 집중력이 흐트러질 틈 없이, 꼭 알고 싶었던 기하학 개념을 순식간에 머릿속에 새겨넣을 수 있다. 그림으로 개념을 정리하면 빠르고 정확하게 파악할 수 있을뿐더러, 쉽게 잊히지 않는다. ‘그림으로 과학하기’는 과학은 글이 아닌 그림으로 공부해야 한다는 접근법의 전환에서 나온 시리즈다. 인구의 절반 이상은 글보다 그림으로 배우는 시각적 학습자라고 하며, 특히 수학과 과학은 시각적 학습을 할 때 효율적인 과목이다. 지금까지 읽고 듣고 푸는 방식으로 과학과 수학을 공부하다 절망한 사람, 수학 머리가 없다고 느껴본 사람이라면 이 시리즈로 새로운 세상을 만나게 될 것이다. 특히 성인 ADHD나 집중력 문제를 겪고 있는 사람들을 구원해준 책으로도 유명하다. 선명한 색을 활용한 고퀄리티 인포그래픽, 중요도에 따라 시선의 흐름을 유도한 배치, 짧고 친절한 원포인트 설명으로 관심이 흐트러질 틈 자체를 주지 않고 필요한 정보를 바로 찾아갈 수 있게끔 설계되어 있다. 집중력을 도둑맞은, 10초 내에 원하는 정보가 제공되지 않으면 견딜 수 없는 사람이라면 이 책만큼 적절한 수학책이 없을 것이다. 점과 선, 원, 삼각형 같은 기초 중의 기초부터 작도, 피타고라스의 정리, 삼각법, 대칭, 좌표, 위상수학까지 기하학의 필수 개념들을 엄선해서 담았다. 이 책 한 권이면 중·고등학교 교과과정에서 다루는 기하학의 핵심을 정리하는 것은 물론이고, 대학 전공 공부도 든든히 대비할 수 있게 된다. 이화여대부속목동병원 응급의학과 교수 남궁인은 다른 세상을 엿보고 싶었던 어린 시절의 자신에게 건네주고 싶은 책이라며, “그림책은 한번 읽는 걸로 끝나지 않고 두고두고 펼쳐 보는 매력이 있다”고, 그림책 속의 디테일은 오래도록 기억에 남는다고 적극 추천했다. AI의 급발전을 비롯해 예측 불가능하게 변하는 세상에서, 수학을 모르고 사는 것은 너무 불리하다. 수학과 코드 속에 돌아가는 세상에서 태어났으니, 이왕이면 수학을 아는 사람으로 살아보자."
초판본 이방인,알베르 까뮈,,,,,,,더스토리,2025년 02월,2680,9.7,29,https://www.yes24.com/product/goods/142685990,172,국내도서 소설 시 희곡 프랑스소설,"실존주의 문학의 선구자, 노벨 문학상 수상작가 알베르 카뮈의 대표작 《이방인》[르 몽드] 선정 20세기 최고의 작품 1위!생의 부조리와 인간의 실존을 다룬 작품억압적 관습과 현실의 부조리의 민낯을 보여 준실존주의 문학의 대표 작품 《이방인》《이방인》은 알베르 카뮈가 구상한 부조리극의 삼부작 중 하나이자 그가 쓴 최초의 소설이다. 1942년 5월 말, 출간 당시부터 문학적 ‘사건’으로 취급될 정도로 엄청난 호평을 받았으며 제2차 세계대전 이후 최대의 걸작이라는 극찬을 받았다. 《이방인》은 작품 그 자체로 보나 20세기 서사 형식의 사에서 보나 독보적인 위치에 있는 작품이다. 당시 스물아홉의 젊은 알베르 카뮈를 세계적 작가의 반열에 올려놓고, 1957년 노벨 문학상의 영예를 안겨주기도 했다. 20세기를 마감하던 1999년 프랑스의 권위지 〈르 몽드〉가 지난 세기 최고의 작품을 선정하는 투표를 실시했다. 후보작 100편 중 1위를 차지한 작품이 바로 알베르 카뮈의 《이방인》이었다. 《이방인》은 현재까지 전 세계 101개국에 번되어 여전히 독자들에게 사랑받고 있다. 인간이 처한 실존과 정의의 문제를 제기하며 사르트르와 함께 실존주의 문학의 선구자로 불린 알베르 카뮈는 《이방인》을 통해 인생과 세계의 부조리한 모습을 보여 줬다. 《이방인》의 뛰어난 작품성은 영어 번 논란을 불러왔는데, 미국에서는 Stranger로, 영국에서는 Outsider로 다르게 번되며 끝없는 논쟁을 계속하고 있다. 책은 1부와 2부로 나뉘어 진행된다. 제1부는 18일 동안 연속적으로 전개되는 뫼르소의 욕망과 즉흥적인 행동을 서술하며 제2부는 이 즉흥적인 욕망과 행동에 대한 재판 과정이 담겨 있다. 카뮈는 자신을 둘러싼 모든 것들에서 철하게 소외된 작중 화자인 뫼르소의 삶, 죽음에 이르러서야 자기 자신과 세계를 마주하게 되는 화자의 모습을 통해 억압적인 관습과 부조리 속에서 살아가는 고독한 현대인의 초상을 드러냈다. 우리 사회에서 당연하게 여기는 도덕과 관습을 따르지 않는 주인공 뫼르소의 행동 때문에 난해한 작품이라는 평가를 받기도 했던 소설 《이방인》을 더스토리의 1944년 오리지널 초판본 표지디자인으로 만나보자.“프랑스 출신 신인 작가가 쓴 이 작품의 객관성은 경이롭기까지 하다!”_《이방인》 첫 미국 출간 당시의 1946년 뉴욕타임스 리뷰"
시간 정지 용사 17,미츠나가 야스노리,,,,,,,대원,2025년 10월,4950,10.0,3,https://www.yes24.com/product/goods/159168374,없음,없음,책소개 없음
타조 소년들,키스 그레이,,,,,,,제철소,2025년 08월,16200,10.0,7,https://www.yes24.com/product/goods/152551524,384,국내도서 소설 시 희곡 영미소설 영미 장편소설,"“우리 인생에 최고로 끝내주는 스토리가 생긴 거라고!”로스를 ‘로스’로!세 영국 소년의 절친 납치 프로젝트“『호밀밭의 파수꾼』을 연상시킨다. 성장소설의 모던 클래식.”★『더 북셀러 The Bookseller』★“유머러스하면서 동시에 심오하다.”★『더 선데이 타임스 The Sunday Times』★“『스탠 바이 미』 이후 소년들에 관한 가장 멋진 이야기!”★아마존 독자★우리나라에 처음 소개되는 영국 작가 키스 그레이의 장편소설. 죽은 친구의 유골 항아리를 훔쳐 스코틀랜드 바닷가 마을로 향하는 세 소년이 모험을 통해 사랑하는 이의 죽음과 그로 인한 상실을 가슴 깊이 끌어안으며 진정한 자아와 만나는 이야기를 담고 있다.『타조 소년들』은 출간 당시 영국 내에서 단숨에 베스트셀러 자리에 오르며 선풍적인 인기를 끌었다. 특히 평소 책과 친하지 않은 십대 독자들의 열렬한 지지를 받았다는 점에서 많은 화제를 불러일으켰다. 또한 Carnegie Medal, Guardian Fiction Prize, BookTrust Teenage Prize 등 유수의 문학상 최종 후보에 이름을 올리는 영예를 안기도 했다. 2014년에는 영국 극작가 칼 밀러가 각색하고 토니 그래함이 연출한 동명의 연극을 국립극단이 세계 초연해 관객들의 뜨거운 사랑을 받았으며, 2025년에는 국내 창작 뮤지컬로도 제작되어 이 작품이 가진 스토리텔링의 힘을 다시 한번 증명했다.모든 이야기는 ‘로스의 죽음’으로부터 시작된다. 로스의 절친임을 자부하는 블레이크, 케니, 심은 로스가 생전에 가보고 싶어 했던 스코틀랜드의 ‘로스’라는 곳으로 친구를 데려가기로 마음먹는다. 결국 그들은 로스의 유골 항아리를 훔친 다음 400킬로미터가 넘는 험난한 여정에 나선다. 이 무모하고도 우발적인 여행길에서 세 친구는 온갖 우여곡절을 겪게 되고, 목적지를 코앞에 둔 채 하나의 진실과 마주하게 되는데…. 과연 그들은 로스를 무사히 ‘로스’로 데려갈 수 있을까?"
이탈리안 브레인롯 : 슈퍼도감,편집부,,,,,,,고은문화사,2025년 08월,9000,9.5,4,https://www.yes24.com/product/goods/150793110,쪽수확인,국내도서 어린이 1-2학년 1-2학년 문화 예술 1-2학년 취미,"이탈리안 브레인롯〉의 인기 캐릭터 101종 대 공개!!!각 캐릭터를 1장 바다, 2장 도시, 3장 하늘, 4장 숲, 5장 사막 등배경별로 나누어서 구성했습니다. 각 캐릭터별의 이름, 그림, 특징, 등급  등 상세 정보를 담았습니다.친구들과 즐겁게 〈이탈리안 브레인롯〉 이름 맞히기 게임을 해보세요."
"영어 필사, 인생의 문장들",고광윤,,,,,,,길벗,2025년 08월,22500,9.9,30,https://www.yes24.com/product/goods/150720518,양,국내도서 국어 외국어 사전 영어 영어 독해 문법 작문 번 영작문,"“여기 이 아름다운 문장들은 천 년의 시간과 국경을 넘어 당신에게 닿았다”연세대 영어영문학과 고광윤 교수 영어책 읽기 최고 권위자가 엄선한 깊은 사유의 문장들오랜 시간 ‘느리게 읽기’의 중요성을 이야기해 온 연세대학교 영어영문학과 고광윤 교수가 『영어 필사, 인생의 문장들』을 출간했다. 그는 ‘슬로우 미러클’이라는 또 다른 이름으로 많은 책을 빠르게 읽고 넘기기보다 좋은 책을 천천히 곱씹으며 읽기를 오래도록 제안해 왔다. 그 배경에는 그가 책으로 인해 방황했고, 책에 기대 다시 일어섰으며, 책 속 문장들에 힘입어 앞으로 꾸준히 나아가, 결국 삶을 서서히 변화시켜 온 오랜 경험이 있었기 때문이다. 일생에 거쳐 체득한 경험뿐 아니라, 영어영문학을 연구하고 가르치는 사람으로서 그는 좋은 글을 천천히 읽는 것의 중요성을 깊이 확인한 바 있다. 이 책에는 그가 평생에 걸쳐 읽고 수집해 온 명문장 중에서도, 인류 보편적으로 오랜 시간 공감과 사랑을 받아 온 문장들이 선별되어 담겼다. 이 책은 독자에게 명문장을 천천히 읽고, 손으로 쓰고, 마음에 새기는 시간을 선사한다."
치매에 걸린 뇌과학자,"대니얼 깁스, 터리사 H. 바커",,,,,,,더퀘스트,2025년 08월,17550,10.0,27,https://www.yes24.com/product/goods/150537339,320,국내도서 인문 심리 뇌과학,"“나는 신경과 의사다. 그리고 알츠하이머병 초기다.”자신의 치매를 10년 일찍 눈치챈 뇌과학자,그가 전하는 ‘마지막까지 의미 있는 삶’을 위한 준비30년 경력의 신경과 의사이자 뇌과학자인 대니얼 깁스 박사는 의사 경력 동안 수많은 치매 환자를 헌신적으로 진료했다. 그러던 어느 날, 그에게도 치매가 찾아왔다. 그런데 더욱 놀라운 점은 그가 자기 치매의 전조증상을 10년 전부터 감지했고, 그 뒤 선제적인 노력을 시작해 이 병의 진행 속도를 늦췄다는 사실이다. 이 모든 일이 어떻게 가능했을까? 자의 특별한 여정은 아마존 발간 즉시 뜨거운 관심을 받았으며 2024년 MTV 다큐멘터리로도 제작됐다. 이 책은 ‘뇌 건강의 결정적 시기’를 붙잡기 위한 과학자의 치밀한 분투이자 삶을 향한 깊은 낙관의 기록이다. 자는 거대한 상실 속에서도 행복과 가족의 사랑, 성취감과 삶을 향한 열망은 계속됨을 보여준다. 그의 말마따나 “삶은 언제나 참 좋은 것”이므로."
스티커,김선미,,,,,,,다산책방,2025년 06월,14400,9.8,48,https://www.yes24.com/product/goods/147569943,268,국내도서 청소년 청소년 문학,"스티커로 싫어하는 사람을 간편하게 주할 수 있다면?복수의 쾌감과 그 책임의 무게를 묻는 판타지 성장소설『비스킷』으로 수많은 청소년의 마음을 사로잡은 작가 김선미가 신작 청소년 소설 『스티커』로 돌아왔다. 출간 전에 이미 해외 판권이 계약되며 국내뿐만 아니라 해외에서도 기대를 모은 『스티커』는, 스티커 형태의 주를 만드는 비밀의 책을 우연히 손에 넣게 된 고등학생 장시루가 주 스티커를 거래하며 일어나는 이야기를 담았다. 주 스티커 판매로 돈을 벌던 장시루 앞에 나타난 소우주는 ‘주가 쌓이면 자연재해가 온다’라고 말하고, 그 말이 진실임을 알게 된 장시루는 소우주와 함께 자연재해를 막기 위한 여정에 나선다. 『스티커』는 간편하게 돈으로 살 수 있는 복수를 통해 내가 상처받은 만큼 똑같이 복수하고 싶었던 마음, 말할 수 없었던 어두운 진심을 직면하게 만든다. 이 소설은 바로 그 어두운 진심 앞에 섰을 때 끌려가지 않고 스스로를 지켜 내는 법을 배워 가는 이야기다."
2026 시나공 컴퓨터활용능력1급 필기 기본서,길벗알앤디,,,,,,,길벗,2025년 06월,28800,10.0,5,https://www.yes24.com/product/goods/147347930,928,국내도서 IT 모바일 컴퓨터 수험서 컴퓨터활용능력,"A-Z까지 기본 탄탄, 『2026 시나공 컴퓨터활용능력1급 필기 기본서』2026 시나공 컴퓨터활용능력1급 필기 기본서는 기출문제 분석을 통해 최신 출제 경향을 완벽하게 반영한 도서이다."
법의학자 유성호의 유언 노트,유성호,,,,,,,21세기북스,2025년 04월,17910,9.6,45,https://www.yes24.com/product/goods/144962056,252,국내도서 인문 인문 교양 인문에세이,"""오늘의 유언이 내일의 삶을 위한 다짐이 된다“『나는 매주 시체를 보러 간다』 이후 6년,매일 죽음을 만나는 법의학자 유성호 교수가일 년에 한 번 '유언'을 쓰며 발견한 후회 없는 삶을 위한 지침2019년 서울대 최고의 ‘죽음’ 강의를 담은 『나는 매주 시체를 보러 간다』를 통해 법의학이 들려주는 생생한 이야기와 철학으로 큰 화제를 모았던 유성호 교수가 6년 만에 신작 『법의학자 유성호의 유언 노트』를 펴냈다. 27년간 3,000건 이상의 부검을 수행해온 자가 깨달은 죽음과 삶에 관한 ‘지식’과 ‘통찰’, 나아가 유한한 삶과 필연적 죽음을 마주하는 ‘실천적 방법’에 대한 깊은 고민과 성찰을 담아 정리한 책이다.유성호 교수는 특히 이번 책에서 ‘유언’이라는 키워드로 죽음과 삶을 직면할 것을 권한다. 그가 전하는 유언은, 삶의 마지막 순간에 남기는 말이 아니라 앞으로 살아갈 날들을 더욱 의미 있게 보내기 위한 실천에 가깝다. 오랫동안 자는 국내에서 발생한 주요 사건 및 범죄의 부검과 자문을 담당하며 준비되지 않은 죽음이 남긴 우리 사회의 아픈 흔적을 예리하고 섬세한 시선으로 조명해왔다. 이 책에서는 한 걸음 더 나아가 상실과 애도, 연명의료와 존엄사에 대한 논의로 확장하며 현장 사례와 데이터, 여러 문헌과 연구를 근거로 ‘좋은 죽음’과 ‘좋은 삶’을 둘러싼 다양한 질문과 이야기를 전한다.죽음이란, 삶이라는 아름다운 여정의 엔딩이자 피날레다. 매일 죽음을 만나는 법의학자 유성호 교수는 죽음이 단순히 ‘무섭다’, ‘끝이다’, ‘허무하다’가 아닌, 거대한 우주와 생명의 순환이라는 섭리 안에서 마다의 인생에 걸맞은 엔딩으로 빛나길 바란다. 그가 우리에게 “죽음을 직면하라”고 말하며 유언 쓰기를 권하는 이유도 여기에 있다. 많은 이들이 고단한 삶에 쫓겨 죽음을 망각하고 인생의 목표와 방향도 잃은 채 살아간다. 그러나 삶은 죽음을 떠올릴 때 더욱 선명해진다. 이 책은 일생에 한 번쯤 죽음을 상상하며 나는 어떤 사람이었고, 무엇을 사랑했고, 어떤 인생을 살아왔는지, 그리고 앞으로 살아갈 날들은 무엇으로 채워나갈 것인지 돌아보라고 조언한다. 후회 없는 삶을 살고 싶다면, 삶의 무게에 짓눌려 목적을 잃고 길을 헤매고 있다면, 이 책이 당신 인생의 의미와 방향을 찾는 데 도움이 될 것이다."
흔한남매의 흔한 호기심 13,흔한남매,,,,,,안치현,미래엔아이세움,2025년 03월,13500,9.9,115,https://www.yes24.com/product/goods/143484785,164,국내도서 어린이 1-2학년 1-2학년 만화 애니메이션 1-2학년 학습만화,"흔한남매와 함께라면온갖 호기심을 한 방에 해결!구독자 수 289만 명의 인기 유튜브 크리에이터, 흔한남매가 과학 학습 만화로 찾아왔습니다. 학습 만화라서 어렵고 딱딱할 것이라는 생각은 금물! 이 책은 유머러스한 에피소드 '만화'와 말랑말랑한 과학 '정보' 페이지, 핵심 키워드를 담은 '퀴즈', 그리고 마지막으로 성취감을 길러 줄 '특별 칭찬 상장'까지 지루할 틈 없는 흥미로운 구성으로 가득하니까요. 『흔한남매의 흔한 호기심』으로 배꼽 잡는 재미와 과학 호기심을 동시에 잡아 보세요."
결핍은 우리를 어떻게 변화시키는가,"센딜 멀레이너선, 엘다 샤퍼",,,,,,,빌리버튼,2025년 03월,22320,9.1,27,https://www.yes24.com/product/goods/143330924,440,국내도서 경제 경영 경제 경제상식 경제이야기,"***노벨 경제학상 수상 『넛지』 리처드 탈러 추천******노벨 경제학상 수상 『생각에 관한 생각』 대니얼 카너먼 추천******하버드대·프린스턴대 교수들이 밝혀낸 인간의 행동 원리***실수, 망각, 성급함을 낳는 결핍이어떻게 더 나은 삶의 토대가 되는가?결핍의 원리에 대한 혁신적 분석을 바탕으로세계 최고 석학들이 내놓은 삶의 해법 과도한 이자를 물며 돈을 빌리거나, 반복적으로 약속에 늦고, 다이어트를 결심해도 며칠을 못 버티는 사람들. 이처럼 경솔한 행동을 하는 사람들의 공통점은 무엇일까? 하버드대 경제학과 교수 센딜 멀레이너선과 프린스턴대 교수 엘다 샤퍼는 『결핍은 우리를 어떻게 변화시키는가』에서 흥미로운 답을 제시한다. 이들의 비합리적인 행동은 개인의 지능이나 자제력 부족이 아닌, ‘결핍’에서 비롯된다는 것이다. 물론 결핍이 반드시 부정적인 것만은 아니다. 오히려 결핍은 우리의 잠재력을 끌어내는 원동력이 되기도 한다. 시간이 부족할 때 집중력이 높아지거나, 쓸 수 있는 자원이 한정되어 있을 때 더 창의적인 해결책을 찾아낼 수 있는 이유도 바로 이 때문이다. 하지만 이 집중이 지나치면 다른 중요한 것을 놓칠 수도 있다. 가난한 사람이 지출을 줄이기 위해 꼭 필요한 보험을 해지하고, 바쁜 사람이 약속 시간에 맞추려고 무단횡단을 하는 것처럼 말이다.『결핍은 우리를 어떻게 변화시키는가』는 이와 같이 결핍이 우리의 인지 능력에 영향을 미치는 여러 사례와 방대한 연구 결과를 살펴보며 결핍이 우리의 행동과 의사 결정에 미치는 영향을 상세히 분석한다.『넛지』의 자이자 노벨 경제학상 수상자인 리처드 탈러와, 시 심리학자 최초로 노벨 경제학상을 수상한『생각에 관한 생각』자 대니얼 카너먼이 이 책에 극찬을 보냈으며, 경제학자 스티븐 레빗, 심리학자 대니얼 길버트, 미래학자 다니엘 핑크 등 다양한 분야의 석학들이 이 책에 담긴 비범한 통찰의 가치를 높이 평가했다. 이처럼 『결핍은 우리를 어떻게 변화시키는가』는 결핍이라는 새로운 관점으로 인간 심리를 탐구하고, 이를 통해 성장의 발판을 마련하며 행동경제학계의 새로운 고전으로 자리매김할 것이라 기대받고 있는 명이다."
2025 해커스경찰 갓대환 형사법 기본서 1 형법,김대환,,,,,,,해커스경찰,2025년 01월,40500,9.4,25,https://www.yes24.com/product/goods/140394833,648,국내도서 수험서 자격증 공무원 헌법 형법 민법 기타법 형법,"『2025 해커스경찰 갓대환 형사법 기본서 1 형법』은 형사법 이론 및 판례를 체계적으로 정리한 경찰시험 형사법 수험서로, 핵심이론 정리부터 최신판례까지 한 권으로 완성할 수 있도록 구성한 기본서이다. 형사법 최신 출제경향을 반영한 기본서. 좌우 비교 형식으로 효율적인 판례 정리 가능. 다양한 학습장치로 학습효과 극대화."
